step,avg_reward
2048,1.8888888888888888
4096,1.380952380952381
6144,1.4375
8192,1.5
10240,1.3518518518518519
12288,1.2388059701492538
14336,1.2727272727272727
16384,1.2727272727272727
18432,1.3711340206185567
20480,1.34
22528,1.33
24576,1.33
26624,1.27
28672,1.34
30720,1.33
32768,1.36
34816,1.34
36864,1.21
38912,1.17
40960,1.13
43008,1.12
45056,1.16
47104,1.12
49152,1.18
51200,1.24
53248,1.28
55296,1.36
57344,1.41
59392,1.47
61440,1.45
63488,1.41
65536,1.44
67584,1.51
69632,1.48
71680,1.44
73728,1.41
75776,1.4
77824,1.35
79872,1.34
81920,1.36
83968,1.3
86016,1.13
88064,1.08
90112,1.08
92160,1.12
94208,1.09
96256,1.17
98304,1.22
100352,1.29
102400,1.34
104448,1.36
106496,1.37
108544,1.31
110592,1.36
112640,1.38
114688,1.33
116736,1.29
118784,1.24
120832,1.3
122880,1.25
124928,1.29
126976,1.29
129024,1.31
131072,1.31
133120,1.27
135168,1.31
137216,1.31
139264,1.26
141312,1.27
143360,1.3
145408,1.34
147456,1.34
149504,1.36
151552,1.36
153600,1.4
155648,1.4
157696,1.45
159744,1.51
161792,1.56
163840,1.37
165888,1.39
167936,1.32
169984,1.32
172032,1.26
174080,1.33
176128,1.25
178176,1.23
180224,1.31
182272,1.4
184320,1.39
186368,1.45
188416,1.45
190464,1.52
192512,1.46
194560,1.42
196608,1.39
198656,1.34
200704,1.39
202752,1.48
204800,1.48
206848,1.53
208896,1.55
210944,1.63
212992,1.73
215040,1.69
217088,1.69
219136,1.59
221184,1.53
223232,1.48
225280,1.52
227328,1.5
229376,1.44
231424,1.37
233472,1.38
235520,1.41
237568,1.45
239616,1.51
241664,1.54
243712,1.52
245760,1.47
247808,1.48
249856,1.53
251904,1.5
253952,1.49
256000,1.6
258048,1.56
260096,1.49
262144,1.53
264192,1.58
266240,1.57
268288,1.56
270336,1.68
272384,1.71
274432,1.67
276480,1.68
278528,1.79
280576,1.77
282624,1.88
284672,1.86
286720,1.83
288768,1.85
290816,1.79
292864,1.89
294912,1.87
296960,1.85
299008,1.86
301056,1.98
303104,1.85
305152,1.93
307200,1.92
309248,2.03
311296,2.05
313344,2.07
315392,2.09
317440,2.16
319488,2.13
321536,2.05
323584,2.04
325632,2.01
327680,2.03
329728,1.91
331776,1.96
333824,1.9
335872,1.92
337920,1.85
339968,1.96
342016,2.0
344064,1.92
346112,1.93
348160,2.04
350208,2.09
352256,2.08
354304,2.18
356352,2.17
358400,2.17
360448,2.14
362496,2.11
364544,2.04
366592,2.11
368640,2.16
370688,2.18
372736,2.15
374784,2.09
376832,1.98
378880,2.01
380928,1.95
382976,2.09
385024,2.19
387072,2.08
389120,2.01
391168,1.88
393216,1.95
395264,1.92
397312,2.05
399360,2.02
401408,2.18
403456,2.07
405504,2.06
407552,2.05
409600,2.2
411648,2.23
413696,2.2
415744,2.26
417792,2.29
419840,2.32
421888,2.15
423936,2.16
425984,2.27
428032,2.3
430080,2.26
432128,2.31
434176,2.32
436224,2.25
438272,2.32
440320,2.25
442368,2.23
444416,2.23
446464,2.3
448512,2.42
450560,2.46
452608,2.43
454656,2.36
456704,2.45
458752,2.45
460800,2.54
462848,2.68
464896,2.67
466944,2.65
468992,2.56
471040,2.55
473088,2.66
475136,2.63
477184,2.69
479232,2.57
481280,2.47
483328,2.49
485376,2.46
487424,2.61
489472,2.55
491520,2.5
493568,2.32
495616,2.41
497664,2.3
499712,2.39
